"1","Quels sont les ""trois V"" du Big Data ?","1","1"
"2","110 zetaoctet de données","1","2"
"3","Le volume de données des entreprosesdouble tot les ... ans(s)","1","2"
"4","Lequel de ces emplacements serait le plus adapté pour stocker un grand jeu de données","1","2"
"5","En 2020, par combien le volume de données numériques créés a-t-il été multiplié par rapport à 2010 ?","1","2"
"6","Par combien sera multiplier le volume du big data en 2035 par rapport a 2020","1","3"
"7","Combien d’heures de vidéo sont téléchargées sur YouTube chaque minute ?","1","1"
"8","Vrai ou faux ? 90 % des données dans le monde ont été créées dans les deux dernières années.","1","2"
"9","Quelle entreprise informatique est le plus grand fournisseur Big Data dans le monde ?","1","2"
"10","Le modèle de programmation MapReduce a été initialement développé par…","1","2"
"11","Qui a créé le framework logiciel Hadoop, très populaire dans le monde du Big Data ?","1","2"
"12","Combien de gigaoctets y a-t-il dans un exaoctet ?","1","1"
"13","Combien d’exaoctets de données le LHC «Large Hadron Collider» peut-il produire par jour ?","1","3"
"14","Une fois terminé, le flux de données généré par le radiotélescope SKA sera équivalent à…","1","3"
"15","Lesquels de ces tâches relève du Big Data?","1","2"
"16","Lequel des éléments suivants est une base de données distribuée à plusieurs niveaux?","1","3"
"100","Comment s’appel le test permettant de vérifier la capacité d’une machine à faire preuve de signes d’intelligence humaine ? (Nom de famille)","2","2"
"101","Comment s’appellent les deux apprentissages en intelligence artificielle qui ont permis à une machine de battre les meilleurs joueurs de go au monde en 2016 et 2017 ?","2","3"
"102","En février dernier, quel pourcentage d'entreprises canadiennes entendait investir en intelligence artificielle d’ici deux ans ?","2","2"
"103","Qui a affirmé, l’an dernier, que la concurrence des nations pour la supériorité en IA pourrait déboucher sur une Troisième Guerre mondiale ?","2","3"
"104","Au tournant des années 90, quelle invention a ouvert la voie à des avancées sans précédent en matière d’apprentissage automatique pour les machines ?","2","3"
"105","D’après les dernières études, de combien le PIB mondial s’accroîtra-t-il d’ici 2030 grâce au développement de l’intelligence artificielle ?","2","2"
"106","Quel est le but de l'intelligence artificielle ?","2","1"
"107","Quelles sont les matières associées à l'intelligence artificielle ?","2","1"
"108","Le logiciel Alpha Go a battu le champion Lee Sedol au jeu de go en 2016?","2","1"
"109","L’IA permet-t-elle aux juristes d’analyser plus rapidement les contrats ?","2","1"
"110","John McCarthy a inventé le terme ""IA"" ?","2","2"
"111","En juin 2017, des chercheurs de Facebook ont fait dialoguer deux IA pour tenter de leur apprendre l'art de la négociation. Que s'est-il passé?","2","2"
"112","En septembre 2016, Sony diffusait Daddy's car, le premier morceau pop composé par une intelligence artificielle. Avec quoi cette dernière a-t-elle été ""nourrie""?","2","1"
"113","Une IA a déjà participé à la création de la bande-annonce d'un film: lequel?","2","2"
"114","Quel jeu de stratégie échappe encore à la domination des intelligences artificielles?","2","2"
"115","L’IA fait souvent figure de croque mitaine dans les films de science-fiction. Dans ces quatres films, laquelle ne devient pas méchante ?","2","3"
"116","Qu'est ce qui distingue une intelligence artificielle forte d'une intelligence artificielle faible?","2","2"
"117","Sait-on précisément ce qui se passe dans le “cerveau” d’une IA ?","2","1"
"118","Comment une IA doit-elle s'y prendre pour passer le test de Turing?","2","1"
"119","Le GDPR c’est quoi ?","2","3"
"120","Le GDPR est une loi européenne qui régit la protection des données personnelles des résidents Européens ?","2","2"
"121","En mars 2016, Microsoft avait lâché son IA Tay sur Twitter, afin qu'elle apprenne de nouvelles choses au contact des internautes. Au bout de 24 heures, que s'était-il passé?","2","2"
"122","Quel IA d'un géant américain est déjà couramment utilisée pour répondre aux questions des clients de certaines entreprises, notamment les banques ?","2","3"
